address,balance
0x4af40eaf260570f85515eb3591e04555588b41fd,0.0001
0x3bab98de2c1a3bbb36eab0308f500e231aea3a47,0.0001
0x5e8d1e88f0a0edc1b2e626712f656ea7203e9a83,1e-08
0xb15eb4faea48af67cf86a030aa614b58993b43bb,0.0001
0xec0a043458d6f62375c248bc7686155412bf6bce,0.0001
0xb8b0efe05a63b7c14410cff4d56b80c1343770a3,9e-08
0x14a9fb9770b38cf5b113be5772b86d3a735b369c,1e-08
0x03cc3a6383c5f0f9368bbcb67d7e5ba674cc3a87,0.0001
0x313e777e52f7e786de17d6a826b200fea0f58a91,0.0001
0x791b2e061ddca30e27495395953ae574b840b137,0.0001
0x6f38205bf2fa45683042c1fac564800ac84ed314,1e-08
0xbb9772e5a6ca90d318ee76e5ad7215bcd570a862,0.0001
0x3b1126c4f6e440148ca16bb066b2f4c37bb288dd,0.0001
0x70a7d666c2bab9a7b10f85658b6733c113403434,0.0001
0x9b7c95e49c5094c0195e5a6bcf3f7fff9be85afa,0.0001
0xcd843c724e1d3b899515b3db3defdbfef716b827,1e-08
0x5b6208aaf58affc5be6c8a05906d1a3a86633059,0.0001
0x301bc0621a6aac9d5d0caeb86f3b386ce2ee47af,0.0001
0x986f467052b040b40841a52ced0dad6def9aab9a,1e-08
0x4edf6643fc286499858c748e096a4725ae801d77,1e-08
0x897ee024f27bcac4d1f556e344dc3fc285eecdbc,0.0001
0x6ffba63ed952af28d009173c49ff62240004ec12,14.0
0x1a8608c53f2afd03e8c04f550c552ef347504fc7,1e-08
0x89445752f84bb25f3b992a4bf8026928d40ca0f9,0.0001
0x354ffda41d777009e0a82d87272bb8be9d932db1,0.0001
0xfb77a431290cee112b27475a957b6011a7d57fd8,0.0001
0x0791a7444631e9a07b280a7743a42850b7927afe,0.0001
0x8d4524f35d17aa05111f5d6f3ae7974ff6b6dd25,0.0001
0x8d80c1dee99359d40276bde4dce269cbd5bc8ed1,0.0001
0x0e79a288675ce01141f78c9a145965a71ed8b19c,0.0001
0x82f0c5b8c29a6a808a13332222b2c9639421445a,0.0001
0x9ac8050f2b749fd65fbe99fa1b5165b9acbb530c,0.0001
0x14c5c04a145abf6ad21d24575716944733ed014d,0.0001
0xa545915adb3ff7a4c13a1a664ea280c5830e987a,0.0001
0x7e750f878681ed22c3c76d46d121cd21256dbe10,0.0001
0xf162584829da25c375070b1440dd1b1d4c987c83,0.0001
0xc04c88346c0a3ac8d7c44e41c569f1eb752171ec,0.0001
0xeff2def6a52b719417e2e4aa2e92d225eaf11227,0.0001
0xc4f3d78d3109853cdc3fdd9455b4839611fe5d81,0.0001
0x1843aa00c9893acf0cae61360e617c5a5c8ff627,0.0001
0x1a95e0a5839c3f281a93f05d2c4b1d5d011ca314,0.0001
0x16c596161ebee7cfefa22c62d321483c54ada53e,0.0001
0xb87298e97c67b5317dfbad6803a57cab22dda532,1e-08
0x2a4825ef7288638744e560178ee58b1cef674b2d,0.0001
0x79126b5b715ff663b0fcf68b2f92a40d8d9b40a9,1e-08
