wallet_address,erc20_txcount_sent_to_brdg,erc20_total_sent_to_brdg,erc20_txcount_received_from_brdg,erc20_total_received_from_brdg,erc20_net_balance,t12_txcnt_sent_to_brdg,t12_total_sent_to_brdg,t12_txcnt_received_from_brdg,t12_total_received_from_brdg,t12_net_balance,diff_net_balance
0x70961f7218205b9f9f632cad2fc830cdf1dc9dbb,0,0.0,1,8400.0,8400.0,0,0.0,0,0.0,0.0,8400.0
0x4a55546570b00ec05ed3bd04bf4cb73886ac71e3,0,0.0,8,8001.599999999999,8001.599999999999,11,10002.0,0,0.0,-10002.0,-2000.4000000000005
0xa5b84e8d018bfea1d8aa8d018f67b110504dea3a,0,0.0,11,7584.36468136,7584.36468136,11,7584.36468136,0,0.0,-7584.36468136,0.0
0xafea17c1fcb07222d380ae64367270899236da42,2,4.0,13,7566.700614609999,7562.700614609999,13,7566.70061461,2,4.0,-7562.70061461,-9.094947017729282e-13
0x4303f433a7efa018d1ac1a56bac87935d46766ad,0,0.0,8,7540.0,7540.0,0,0.0,0,0.0,0.0,7540.0
0xfda56fc8fffbebb70a8989a3a2b1534d664df02d,0,0.0,9,7501.0,7501.0,9,7500.99999999,0,0.0,-7500.99999999,9.999894245993346e-09
0xc6ece0e018cd09bd202a512f975a5af0181881b7,0,0.0,8,7470.0,7470.0,0,0.0,0,0.0,0.0,7470.0
0x50ff11b419a646aaa0b26c4bc937cbe134b6a328,0,0.0,6,7231.04186124,7231.04186124,6,7231.04186124,0,0.0,-7231.04186124,0.0
0x5bbb99e9d38234d9109cf2881fa31c1c78531026,3,1501.48,4,8726.48,7225.0,4,8726.48,3,1501.48,-7225.0,0.0
0x35516a538c1b04e98b5195635cbbfbebd3453711,0,0.0,3,7200.0,7200.0,3,7200.0,0,0.0,-7200.0,0.0
0x86ce681acd0a345de2509d609052e5a377a8f071,1,109.0,9,7221.0,7112.0,9,7221.0,1,109.0,-7112.0,0.0
0x6c29581f70aafd009e1231cbe9fbf0c75d605743,0,0.0,11,7019.160000000001,7019.160000000001,15,7722.35999996,0,0.0,-7722.35999996,-703.1999999599993
0x3a6e7a122adc8ba6f3174fa3d237fdd43843a73b,2,2019.0,6,8829.03410403,6810.034104030001,7,9502.03410403,2,2019.0,-7483.034104030001,-673.0
0xbd6d761df40401d1c44d42ff4f71a3f95b4c6d00,0,0.0,2,6800.0,6800.0,0,0.0,0,0.0,0.0,6800.0
0xa3a4fedbf805207ca20fdb6e676f5d1164e6a53b,0,0.0,11,6654.0,6654.0,11,6654.0,0,0.0,-6654.0,0.0
0xcca06f207c85dc4825b2a72a9d0466cd039b4356,0,0.0,6,6631.97446022,6631.97446022,6,6631.97446022,0,0.0,-6631.97446022,0.0
0x508e08cc699fbdb9376cad0b5d010c255bc84409,1,127.0,10,6710.71448973,6583.71448973,10,6710.71448973,1,127.0,-6583.71448973,0.0
0xb03df642eda1ab1dfb7eb84c4623fb0df2a13937,0,0.0,11,6551.89987303,6551.89987303,14,6653.89987303,0,0.0,-6653.89987303,-102.0
0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,0,0.0,413,6511.0,6511.0,0,0.0,0,0.0,0.0,6511.0
0x59d02616b9be151937a2ac246bd839fc6f51fa2f,0,0.0,2,6437.0,6437.0,0,0.0,0,0.0,0.0,6437.0
0x5e91bbdc8910337af19009337f8526c406698d6c,20,79.0,62,6423.209684629999,6344.209684629999,84,8177.209884600001,26,171.0,-8006.209884600001,-1662.0001999700016
0xec621c6a4cb331bdf543b6aa0f65475507d8fc1d,0,0.0,5,5954.0,5954.0,5,5954.0,0,0.0,-5954.0,0.0
0x112f99a5c1c4fe9e463018acf89bf183abc06377,0,0.0,2,5926.4,5926.4,2,5926.39999999,0,0.0,-5926.39999999,9.999894245993346e-09
0xaad99f162db1e7fd75fdd6adc10f1b780679601c,0,0.0,17,5675.5,5675.5,17,5675.5,1,1000.0,-4675.5,1000.0
0xa40aba765730381d142faa99f557ffbdf19092a4,0,0.0,7,5650.0,5650.0,6,4650.0,0,0.0,-4650.0,1000.0
0xd9fc10da6f1fdcc1f187d74a92aefb5ab95bec29,0,0.0,9,5649.0,5649.0,10,6276.0,0,0.0,-6276.0,-627.0
0xc056c992c112f88593f07d7abedc24ff6a10bc14,1,4340.0,11,9974.63913893,5634.639138930001,11,9974.639138929999,1,4340.0,-5634.639138929999,1.8189894035458565e-12
0x47b8ba253c2cc70213173df0fd28e6ec72deb52f,1,73.72,11,5696.96,5623.24,11,5696.960000000001,1,73.72,-5623.240000000001,-9.094947017729282e-13
0x8770c06c583b48778bb792a6b5334c217a55eaad,0,0.0,17,5599.35,5599.35,21,6999.4499999399995,0,0.0,-6999.4499999399995,-1400.0999999399992
0x3fe50e5f716c61999a3800d049aa513b0b910a8f,0,0.0,1,5566.0,5566.0,1,5566.0,0,0.0,-5566.0,0.0
0x38ee12792bc65f99c0eea8afb989341131c59877,0,0.0,10,5560.0,5560.0,10,5560.0,0,0.0,-5560.0,0.0
0x0aea6c5736ee9ce9b66142aed6c3c9e4bdfe58f9,0,0.0,7,5405.6900000000005,5405.6900000000005,7,5405.6900000000005,0,0.0,-5405.6900000000005,0.0
0x750ff39fa820778edb524554298daede0b20d7d0,0,0.0,15,5343.0,5343.0,16,5543.0,0,0.0,-5543.0,-200.0
0x3f95a8a1cae05099b0fc14310ede62d3fc99e914,0,0.0,3,5305.6,5305.6,3,5305.59999999,0,0.0,-5305.59999999,1.0000803740695119e-08
0x9ac58eda62a37865f0fe115e0cc268f0ee5c070d,0,0.0,2,5300.0,5300.0,2,5300.0,0,0.0,-5300.0,0.0
0xf77e6bf0b2c7faf6b8655098c376f977ab40a3ea,0,0.0,5,5000.0,5000.0,5,5000.0,0,0.0,-5000.0,0.0
0x1f8d421573156d6dc2d628d40244ca65f63a0ffe,0,0.0,1,5000.0,5000.0,0,0.0,0,0.0,0.0,5000.0
0x6f81d7aca09d82c30f5df968871eb101b9fae574,0,0.0,1,5000.0,5000.0,1,5000.0,0,0.0,-5000.0,0.0
0x0d2905c19e8688e0ca372492098ce35155eb8ae9,0,0.0,1,5000.0,5000.0,1,5000.0,0,0.0,-5000.0,0.0
0xf14f717d3410a719a2d73286f8cb25de91813ca5,0,0.0,5,4999.0,4999.0,5,4999.0,0,0.0,-4999.0,0.0
0x922640d53d423800b599fb2b0e126882889afdc7,3,3.0,2,5001.0,4998.0,3,5002.0,3,3.0,-4999.0,-1.0
0x720ddec7d343cac6172ed26c2fcf7ca60d50df4d,0,0.0,2,4937.58349895,4937.58349895,2,4937.58349895,0,0.0,-4937.58349895,0.0
0xfaec6ee2b33cdbaddedde9153809f1fe50441450,0,0.0,8,4921.87,4921.87,10,6151.87,0,0.0,-6151.87,-1230.0
0x1c2261206b48899b46f39b44634e3e909bb94021,0,0.0,8,4867.0,4867.0,10,6136.0,0,0.0,-6136.0,-1269.0
0x1ddd5f1476b926f149ea677952a70bf0df4020f9,0,0.0,4,4810.7000001,4810.7000001,4,4810.70000009,0,0.0,-4810.70000009,9.999894245993346e-09
0x3767eafe404012937dec704042323d96d9109a05,0,0.0,1,4800.0,4800.0,1,4800.0,0,0.0,-4800.0,0.0
0xe632d3a2ad02a2e747647d3f8f25b938dce8da76,0,0.0,10,4750.0,4750.0,11,5250.0,0,0.0,-5250.0,-500.0
0xfd7371c0686c0e8030313f99117f632419d7b8a3,0,0.0,8,4748.8,4748.8,10,5936.000000000001,0,0.0,-5936.000000000001,-1187.2000000000007
0x4067d96a33386a9976e2042360931748355d40ea,0,0.0,3,4558.0,4558.0,3,4558.0,0,0.0,-4558.0,0.0
0x1723dfb5aa8c089e030711706a9f86a176431085,0,0.0,9,4485.0,4485.0,11,5485.0,0,0.0,-5485.0,-1000.0
0x650d74e93ed691327396129c0809557536d088a4,0,0.0,25,4420.0,4420.0,26,4421.0,0,0.0,-4421.0,-1.0
0xd20a01380608be20026a57387ac54f9ce77ff6a1,0,0.0,9,4369.0,4369.0,11,5349.0,0,0.0,-5349.0,-980.0
0xd4ee912170f450402d2e0b90f633eff31feed5a5,0,0.0,11,4366.0,4366.0,13,5196.89999998,0,0.0,-5196.89999998,-830.8999999799998
0x4459b1740a29d3ba66673c3c070b58e2f1b11731,0,0.0,1,4290.17408697,4290.17408697,1,4290.17408697,0,0.0,-4290.17408697,0.0
0xb7db6bbe4394528f62ef6ef9558142a0b43a186c,0,0.0,7,4261.0,4261.0,7,4261.0,1,3500.0,-761.0,3500.0
0x46ac6ae28dc447a1e1d1c683488b92ef0fe4f80d,4,1349.28891682,20,5594.50857387,4245.21965705,21,5654.508573869999,4,1349.28891682,-4305.219657049999,-59.99999999999909
0xc5335620ecf210236ace1ccdb0da791cd4979b9c,1,108.65,15,4324.6712,4216.0212,17,4496.271199920001,1,108.65,-4387.621199920001,-171.5999999200012
0x5d61b6f9e149e6439246c8a0016c4a50a172169c,0,0.0,13,4194.0,4194.0,13,4194.0,0,0.0,-4194.0,0.0
0x33140149621e93c043c4c1c40cef3ac34c63abea,0,0.0,4,4100.73,4100.73,4,4100.73,0,0.0,-4100.73,0.0
0x6478be9ca69cddbb2fa87ae5724261892f755cb7,0,0.0,2,4025.0,4025.0,4,5175.0,0,0.0,-5175.0,-1150.0
0x79aeef1377b1ca726f4fa90706cbf4383e6da9dd,0,0.0,2,4000.0,4000.0,2,4000.0,0,0.0,-4000.0,0.0
0x76a5e16dad6fcbb847bc299f9e08403d7a7a5016,0,0.0,12,4000.0,4000.0,12,4000.0,0,0.0,-4000.0,0.0
0xf70d5ec1266807f1cea1dd487d592c2d87b7b6c5,0,0.0,2,4000.0,4000.0,2,4000.0,0,0.0,-4000.0,0.0
