chain,hash,signed_amount,date,from,to,reason
T12,8afd6823acfa5f7748ed8612009665cc75213c27602f5687d88b751753aefdec,630.0,2023-07-03T23:32:33.355000+00:00,0x1c2261206b48899b46f39b44634e3e909bb94021,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,No matching ERC20 transaction found within 23040 min tolerance
ERC20,0x7c498d5a9d51b36ee33db70d3747953e6f9c190f963dd4726848b7b807c687c3,-18.0,2023-07-03T23:33:35+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x11486a410060a80e4b7ca4f679dddc5d2d0a7d23f598e8823284dbcc72c7138b,-17.0,2023-07-03T23:36:11+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0xfae924810f055e19812eb64170a6bd8197fa176047bad57d3f9a8d8f4516b037,-17.0,2023-07-03T23:38:59+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x5da1f2f38e5e25f4539d67deb5e4dcb251a01a66133cda57d68195e9b6c35cf7,-16.0,2023-07-03T23:40:59+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x5f3201641f20e9f4f388de57d003108dbbe0a90859c220734f019f335d21daa6,-15.0,2023-07-03T23:41:11+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0xfa5606afa2756bdf55c965b0e83abce6e26a0bf8,No matching T12 transaction found within 23040 min tolerance
ERC20,0x5c00efc946033ad72346b7200ae9c4dadc5c7217d15c2bc1e57226181f495f01,-17.0,2023-07-03T23:41:35+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x8c4711c32680775777bc53a7dba5bb7c487f9399793e5488fe7b051372554208,-29.0,2023-07-03T23:42:11+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0xfa5606afa2756bdf55c965b0e83abce6e26a0bf8,No matching T12 transaction found within 23040 min tolerance
ERC20,0x9136b73b657de83365d08543400815b69e187bc738812c0c297210eee61f169f,-16.0,2023-07-03T23:42:35+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x9613771fd543ffd40b3c442d7f47eb087be2bf8526490bd74da0a1ea05f014e4,-55.0,2023-07-03T23:43:11+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x2a2619e81d61c09aa9206535bac1b7a5921ea050,No matching T12 transaction found within 23040 min tolerance
